event_id,ticker,source_type,family,semantic_class,transition_date,transition_source,reason,source_dates
412258fd630fab268b822eb1875a1b448aaa085a009c58ac0f76e78ad21bdce1,ADMF,Voluntary Conversion,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2025-09-26
41c1e8493213d0151799837330c0dc7d8fea633d458c03e40b61ea0247bb9e58,ADRO,Right Distribution,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION,2024-11-29|2024-12-02
17fe9fc553a0ce287943538df0d6420b1e12282cf578773999f0bd31f0e11eaa,AMMS,Voluntary Conversion,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2026-03-09
b98002764eb665a3383b008eda9e2716ad89e533fae16d36c72f55bb6572ede1,ASLI,Voluntary Conversion,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2026-04-15
da7907c518d9c345e9fd39ff1040594141f3585d868e75e34610b2546ee98359,BABY,Right Distribution,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION,2026-04-28|2026-04-29
cc6808069b53474d4a1eddff5fd29f8e8c9f6bac54177cbd4dd24d7af574f4f2,BOGA,Voluntary Conversion,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2026-03-06
abbfde50f3d9a4dfa848a9af445ccfb679b265e3fbe3013253fef8ff71def3ae,BUVA,Right Distribution,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION,2025-11-05|2025-11-06
3ac75071cfbca806f0e133579111cfefcfe30c4d76a86fb8c334d74a550ec196,CNMA,Mixed Dividend,MIXED_STOCK_DIVIDEND,SCHEDULE_REQUIRED,,,MIXED_STOCK_OR_UNKNOWN_COMPONENT_NEEDS_EXACT_SCHEDULE,2026-04-16|2026-04-28
ea6342da3645aea159162c92bd128bb6d0f1b056187de70b523d9fd806ce67cd,COCO,Right Distribution,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION,2025-10-10|2025-10-13
e0f232c4b41c5b9b17c2071b9d63dc25bb9eec9b3233272c574c1f7fbf4aacca,CSIS,Right Distribution,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION,2025-12-23|2025-12-24
6df97832e47c00fc5653e90659f525a5c8258752f9fc2245803498bdeb30b45e,CUAN,Mandatory Conversion,MANDATORY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2025-07-14|2025-07-16|2025-07-17
52bbd37b7c2b69085d0046175bb3da57ca7d4689e1299cd34c64a779aedcd9a6,CYBR,Mandatory Conversion,MANDATORY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2026-05-18|2026-05-19
