year,month,source_identity,source_ref,source_name,fallback_reason,attempted_source_identities,attempted_source_refs,status,sessions_in_requested_range,error
2026,1,IDX_DIGITAL_STATISTICS_DAILY_TRADING_TABLE,https://www.idx.id/primary/DigitalStatistic/GetApiData?urlName=LINK_TABLE_DAILY_TRADING_INVESTOR_FOREIGN&query=eyJ5ZWFyIjoiMjAyNiIsIm1vbnRoIjoiMSIsInF1YXJ0ZXIiOjAsInR5cGUiOiJtb250aGx5In0%3D&isPrint=False&cumulative=false,IDX_DIGITAL_STATISTICS_DAILY_TRADING_TABLE,,"[""IDX_DIGITAL_STATISTICS_DAILY_TRADING_TABLE""]","[""https://www.idx.id/primary/DigitalStatistic/GetApiData?urlName=LINK_TABLE_DAILY_TRADING_INVESTOR_FOREIGN&query=eyJ5ZWFyIjoiMjAyNiIsIm1vbnRoIjoiMSIsInF1YXJ0ZXIiOjAsInR5cGUiOiJtb250aGx5In0%3D&isPrint=False&cumulative=false""]",PARSED,20,
2026,2,IDX_DIGITAL_STATISTICS_DAILY_TRADING_TABLE,https://www.idx.id/primary/DigitalStatistic/GetApiData?urlName=LINK_TABLE_DAILY_TRADING_INVESTOR_FOREIGN&query=eyJ5ZWFyIjoiMjAyNiIsIm1vbnRoIjoiMiIsInF1YXJ0ZXIiOjAsInR5cGUiOiJtb250aGx5In0%3D&isPrint=False&cumulative=false,IDX_DIGITAL_STATISTICS_DAILY_TRADING_TABLE,,"[""IDX_DIGITAL_STATISTICS_DAILY_TRADING_TABLE""]","[""https://www.idx.id/primary/DigitalStatistic/GetApiData?urlName=LINK_TABLE_DAILY_TRADING_INVESTOR_FOREIGN&query=eyJ5ZWFyIjoiMjAyNiIsIm1vbnRoIjoiMiIsInF1YXJ0ZXIiOjAsInR5cGUiOiJtb250aGx5In0%3D&isPrint=False&cumulative=false""]",PARSED,18,
2026,3,IDX_DIGITAL_STATISTICS_DAILY_TRADING_TABLE,https://www.idx.id/primary/DigitalStatistic/GetApiData?urlName=LINK_TABLE_DAILY_TRADING_INVESTOR_FOREIGN&query=eyJ5ZWFyIjoiMjAyNiIsIm1vbnRoIjoiMyIsInF1YXJ0ZXIiOjAsInR5cGUiOiJtb250aGx5In0%3D&isPrint=False&cumulative=false,IDX_DIGITAL_STATISTICS_DAILY_TRADING_TABLE,,"[""IDX_DIGITAL_STATISTICS_DAILY_TRADING_TABLE""]","[""https://www.idx.id/primary/DigitalStatistic/GetApiData?urlName=LINK_TABLE_DAILY_TRADING_INVESTOR_FOREIGN&query=eyJ5ZWFyIjoiMjAyNiIsIm1vbnRoIjoiMyIsInF1YXJ0ZXIiOjAsInR5cGUiOiJtb250aGx5In0%3D&isPrint=False&cumulative=false""]",PARSED,17,
2026,4,IDX_DIGITAL_STATISTICS_DAILY_TRADING_TABLE,https://www.idx.id/primary/DigitalStatistic/GetApiData?urlName=LINK_TABLE_DAILY_TRADING_INVESTOR_FOREIGN&query=eyJ5ZWFyIjoiMjAyNiIsIm1vbnRoIjoiNCIsInF1YXJ0ZXIiOjAsInR5cGUiOiJtb250aGx5In0%3D&isPrint=False&cumulative=false,IDX_DIGITAL_STATISTICS_DAILY_TRADING_TABLE,,"[""IDX_DIGITAL_STATISTICS_DAILY_TRADING_TABLE""]","[""https://www.idx.id/primary/DigitalStatistic/GetApiData?urlName=LINK_TABLE_DAILY_TRADING_INVESTOR_FOREIGN&query=eyJ5ZWFyIjoiMjAyNiIsIm1vbnRoIjoiNCIsInF1YXJ0ZXIiOjAsInR5cGUiOiJtb250aGx5In0%3D&isPrint=False&cumulative=false""]",PARSED,21,
2026,5,IDX_DIGITAL_STATISTICS_DAILY_TRADING_TABLE,https://www.idx.id/primary/DigitalStatistic/GetApiData?urlName=LINK_TABLE_DAILY_TRADING_INVESTOR_FOREIGN&query=eyJ5ZWFyIjoiMjAyNiIsIm1vbnRoIjoiNSIsInF1YXJ0ZXIiOjAsInR5cGUiOiJtb250aGx5In0%3D&isPrint=False&cumulative=false,IDX_DIGITAL_STATISTICS_DAILY_TRADING_TABLE,,"[""IDX_DIGITAL_STATISTICS_DAILY_TRADING_TABLE""]","[""https://www.idx.id/primary/DigitalStatistic/GetApiData?urlName=LINK_TABLE_DAILY_TRADING_INVESTOR_FOREIGN&query=eyJ5ZWFyIjoiMjAyNiIsIm1vbnRoIjoiNSIsInF1YXJ0ZXIiOjAsInR5cGUiOiJtb250aGx5In0%3D&isPrint=False&cumulative=false""]",PARSED,16,
2026,6,IDX_DIGITAL_STATISTICS_DAILY_TRADING_TABLE,https://www.idx.id/primary/DigitalStatistic/GetApiData?urlName=LINK_TABLE_DAILY_TRADING_INVESTOR_FOREIGN&query=eyJ5ZWFyIjoiMjAyNiIsIm1vbnRoIjoiNiIsInF1YXJ0ZXIiOjAsInR5cGUiOiJtb250aGx5In0%3D&isPrint=False&cumulative=false,IDX_DIGITAL_STATISTICS_DAILY_TRADING_TABLE,,"[""IDX_DIGITAL_STATISTICS_DAILY_TRADING_TABLE"", ""IDX_DAILY_STATISTICS_PUBLICATION_LISTING""]","[""https://www.idx.id/primary/DigitalStatistic/GetApiData?urlName=LINK_TABLE_DAILY_TRADING_INVESTOR_FOREIGN&query=eyJ5ZWFyIjoiMjAyNiIsIm1vbnRoIjoiNiIsInF1YXJ0ZXIiOjAsInR5cGUiOiJtb250aGx5In0%3D&isPrint=False&cumulative=false"", ""https://www.idx.id/primary/Statistic/GetStatistic?type=daily&lang=en-us&StartDate=2026-06-01&EndDate=2026-06-30&keyword=""]",PARSED,20,
2026,7,IDX_DAILY_STATISTICS_PUBLICATION_LISTING,https://www.idx.id/primary/Statistic/GetStatistic?type=daily&lang=en-us&StartDate=2026-07-01&EndDate=2026-07-31&keyword=,IDX_DAILY_STATISTICS_PUBLICATION_LISTING,MONTHLY_DIGITAL_STATISTICS_EMPTY_OR_INVALID,"[""IDX_DIGITAL_STATISTICS_DAILY_TRADING_TABLE"", ""IDX_DAILY_STATISTICS_PUBLICATION_LISTING""]","[""https://www.idx.id/primary/DigitalStatistic/GetApiData?urlName=LINK_TABLE_DAILY_TRADING_INVESTOR_FOREIGN&query=eyJ5ZWFyIjoiMjAyNiIsIm1vbnRoIjoiNyIsInF1YXJ0ZXIiOjAsInR5cGUiOiJtb250aGx5In0%3D&isPrint=False&cumulative=false"", ""https://www.idx.id/primary/Statistic/GetStatistic?type=daily&lang=en-us&StartDate=2026-07-01&EndDate=2026-07-31&keyword=""]",PARSED,23,
