ticker,market,state,as_of_date,source,source_ref
ALMI,REGULAR,SUSPENDED,2025-07-30,IDX_FREE_FLOAT_SANCTION_SNAPSHOT,https://www.idx.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20095b13c5_c29295c3b4.pdf
BCIC,REGULAR,SUSPENDED,2025-07-30,IDX_FREE_FLOAT_SANCTION_SNAPSHOT,https://www.idx.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20095b13c5_c29295c3b4.pdf
DEAL,REGULAR,SUSPENDED,2025-07-30,IDX_FREE_FLOAT_SANCTION_SNAPSHOT,https://www.idx.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20095b13c5_c29295c3b4.pdf
FASW,REGULAR,SUSPENDED,2025-07-30,IDX_FREE_FLOAT_SANCTION_SNAPSHOT,https://www.idx.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20095b13c5_c29295c3b4.pdf
FISH,REGULAR,SUSPENDED,2025-07-30,IDX_FREE_FLOAT_SANCTION_SNAPSHOT,https://www.idx.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20095b13c5_c29295c3b4.pdf
