event_id,relation,ticker,source_type,ratio_raw,ratio_parse_status,ratio_left_security,ratio_right_security,strict_security_to_currency_predicate,parent_semantic_class,remediation_semantic_class
9aff00f6fdfad21ade740d0e7bbbff5e1d98f970064df7dc19a9b68573d9db8c,REMOVED_FROM_REMEDIATION_AUDIT,MENN,Voluntary Conversion,(1 MENN : 44 IDR),PARSED_SOURCE_TEXT_ONLY,MENN,IDR,True,SCHEDULE_REQUIRED,NON_BLOCKING
a5d1c56c29424c6671ee5c8a8d11d16d9ab0035be7bc3f98fe884d70b00f889b,REMOVED_FROM_REMEDIATION_AUDIT,MMLP,Voluntary Conversion,(1 MMLP : 580.6 IDR),PARSED_SOURCE_TEXT_ONLY,MMLP,IDR,True,SCHEDULE_REQUIRED,NON_BLOCKING
a6ed5d7456fa5db111d0f430b4fd69a2ff474815cbfb7e65e1814bef793e2f62,REMOVED_FROM_REMEDIATION_AUDIT,GPSO,Voluntary Conversion,(1 GPSO : 436 IDR),PARSED_SOURCE_TEXT_ONLY,GPSO,IDR,True,SCHEDULE_REQUIRED,NON_BLOCKING
b80a3beea8107c48f41b7d7dde6cb2a636684d35068d65abd9537277ed8092e6,REMOVED_FROM_REMEDIATION_AUDIT,MEJA,Voluntary Conversion,(1 MEJA : 66 IDR),PARSED_SOURCE_TEXT_ONLY,MEJA,IDR,True,SCHEDULE_REQUIRED,NON_BLOCKING
b928f1ed13c2dbba33832090a886e0b8f83c6ebac3429e3d612452555dff27e9,REMOVED_FROM_REMEDIATION_AUDIT,MGLV,Voluntary Conversion,(1 MGLV : 1915 IDR),PARSED_SOURCE_TEXT_ONLY,MGLV,IDR,True,SCHEDULE_REQUIRED,NON_BLOCKING
d459b88daf26142ab3a454969bdea7dd32238b7cc4f4b06fef8da512f67f0781,REMOVED_FROM_REMEDIATION_AUDIT,LAPD,Voluntary Conversion,(1 LAPD : 51 IDR),PARSED_SOURCE_TEXT_ONLY,LAPD,IDR,True,SCHEDULE_REQUIRED,NON_BLOCKING
db9f12e2ce49f7b3739f188617837da4785adbeed0e3dd9953bca00e30625fd0,REMOVED_FROM_REMEDIATION_AUDIT,NETV,Voluntary Conversion,(1 NETV : 154 IDR),PARSED_SOURCE_TEXT_ONLY,NETV,IDR,True,SCHEDULE_REQUIRED,NON_BLOCKING
de2474d41f8b306eca48122a7ca9460720d38e875f2860dd068b07af788d2082,REMOVED_FROM_REMEDIATION_AUDIT,PACK,Voluntary Conversion,(1 PACK : 37 IDR),PARSED_SOURCE_TEXT_ONLY,PACK,IDR,True,SCHEDULE_REQUIRED,NON_BLOCKING
e146e58cff23a7c26f6aaa1914de3e5ab29cb3ef22b2220aa93774f7d007ebaf,REMOVED_FROM_REMEDIATION_AUDIT,SMKM,Voluntary Conversion,(1 SMKM : 93 IDR),PARSED_SOURCE_TEXT_ONLY,SMKM,IDR,True,SCHEDULE_REQUIRED,NON_BLOCKING
ebd53e77de5c19233758a1754fc938400022b858f8dbb7dab02499989354f211,REMOVED_FROM_REMEDIATION_AUDIT,NAYZ,Voluntary Conversion,(1 NAYZ : 21 IDR),PARSED_SOURCE_TEXT_ONLY,NAYZ,IDR,True,SCHEDULE_REQUIRED,NON_BLOCKING
ec0de757dc8a66351411bc13293c3042ce80ae9b8d2a3ad50301e4c5a9827b3f,REMOVED_FROM_REMEDIATION_AUDIT,ADMF,Voluntary Conversion,(1 ADMF : 9082 IDR),PARSED_SOURCE_TEXT_ONLY,ADMF,IDR,True,SCHEDULE_REQUIRED,NON_BLOCKING
f065ee8017e3f7e7223a66178b79c621dc4bed56ef86be51273ba69d8febab7a,REMOVED_FROM_REMEDIATION_AUDIT,KLIN,Voluntary Conversion,(1 KLIN : 169 IDR),PARSED_SOURCE_TEXT_ONLY,KLIN,IDR,True,SCHEDULE_REQUIRED,NON_BLOCKING
f1eb0a7db936677d55b5ffaac3398051e753d55880c7eccf34632755760414ab,REMOVED_FROM_REMEDIATION_AUDIT,KARW,Voluntary Conversion,(1 KARW : 66 IDR),PARSED_SOURCE_TEXT_ONLY,KARW,IDR,True,SCHEDULE_REQUIRED,NON_BLOCKING
f91190c37ee43bbdfee7ee4a7588a91d87c815ba6a92002d54c4698992ef4a8b,REMOVED_FROM_REMEDIATION_AUDIT,EDGE,Voluntary Conversion,(1 EDGE : 11500 IDR),PARSED_SOURCE_TEXT_ONLY,EDGE,IDR,True,SCHEDULE_REQUIRED,NON_BLOCKING
