event_id,ticker,row_index,source_type,status,ratio_raw,ratio_parse_status,ratio_left_security,ratio_right_security,strict_security_to_currency_predicate,present_in_parent_audit,present_in_remediation_audit,removed_from_relevant_audit,parent_family,parent_semantic_class,parent_transition_date,remediation_family,remediation_semantic_class,remediation_transition_date,remediation_reason
399ac1c15919b44d75d885d969bdead09c381e1f5181b126937c27e7f4e8d018,FITT,2,Voluntary Conversion,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
917e1b0620a6c5bcc514411e399b9e4f6f8e0b6c5e98bf58e9f6b113e6cb7136,FORU,4,Voluntary Conversion,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
3db1a48b97dedce42a26061e21f2e15ca2ebc88c7cb6804b37396e810ff95f53,FUTR,2,Voluntary Conversion,Active,(1 FUTR : 79 IDR),PARSED_SOURCE_TEXT_ONLY,FUTR,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
4eb092fd4f61fc0f9e5b60e552fe274ad1a970d76d022869565ddfb37b1ac51a,FUTR,4,Voluntary Conversion,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
a6ed5d7456fa5db111d0f430b4fd69a2ff474815cbfb7e65e1814bef793e2f62,GPSO,2,Voluntary Conversion,Active,(1 GPSO : 436 IDR),PARSED_SOURCE_TEXT_ONLY,GPSO,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
5abbdc8350e9f5d8106c099004f3f7d8edd8db3d06a12ecd33d1268eabab48e0,IATA,2,Voluntary Conversion,Active,(1 IATA : 99 IDR),PARSED_SOURCE_TEXT_ONLY,IATA,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
fa33eed5f3b91074b6410d1a79363736f8e763d63956350ce6a68d84114ec985,IATA,3,Voluntary Conversion,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
cff20e6754442d3eebb71fb2dc0438f85271a92b5de9f80f23d539953bc72b7f,IRSX,5,Voluntary Conversion,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
2f7279f2a13446607720af7a1dbbbde51cb542cc94bee3cecec32794202243c4,JARR,8,Voluntary Conversion,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
f1eb0a7db936677d55b5ffaac3398051e753d55880c7eccf34632755760414ab,KARW,4,Voluntary Conversion,Active,(1 KARW : 66 IDR),PARSED_SOURCE_TEXT_ONLY,KARW,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
2958f1557431fb9a8c616cf95c4de6ba9114c92736d0e5926481414179684a90,KETR,1,Voluntary Conversion,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
5fc1b2277927ea7fc2ef0cf63be2725ec04351dcffbbaf4f6749b6ed9f784ee0,KETR,6,Voluntary Conversion,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
f065ee8017e3f7e7223a66178b79c621dc4bed56ef86be51273ba69d8febab7a,KLIN,4,Voluntary Conversion,Active,(1 KLIN : 169 IDR),PARSED_SOURCE_TEXT_ONLY,KLIN,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
6d4993bc71703f8913c9c8ea03b2e672219c0891461f60ea51c05922f255b54d,KRYA,5,Voluntary Conversion,Active,(1 KRYA : 104 IDR),PARSED_SOURCE_TEXT_ONLY,KRYA,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
4b6b5418a792e6eeb22a509f33254088f2ae6a28cf95c796a96b184615cbee74,LABA,6,Voluntary Conversion,Active,(1 LABA : 121 IDR),PARSED_SOURCE_TEXT_ONLY,LABA,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
d459b88daf26142ab3a454969bdea7dd32238b7cc4f4b06fef8da512f67f0781,LAPD,2,Voluntary Conversion,Active,(1 LAPD : 51 IDR),PARSED_SOURCE_TEXT_ONLY,LAPD,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
b80a3beea8107c48f41b7d7dde6cb2a636684d35068d65abd9537277ed8092e6,MEJA,3,Voluntary Conversion,Active,(1 MEJA : 66 IDR),PARSED_SOURCE_TEXT_ONLY,MEJA,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
9aff00f6fdfad21ade740d0e7bbbff5e1d98f970064df7dc19a9b68573d9db8c,MENN,2,Voluntary Conversion,Active,(1 MENN : 44 IDR),PARSED_SOURCE_TEXT_ONLY,MENN,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
